Id,Sales
1,4109.4087
2,7519.4336
3,8808.397
4,7537.5073
5,7315.53
6,5640.1816
7,7439.7896
8,7833.562
9,5277.9014
10,5695.807
11,6750.8525
12,8039.8394
13,7218.1
14,8985.257
15,5831.6094
16,4761.265
17,5590.7812
18,9529.753
19,10544.747
20,10027.784
21,7890.9814
22,4597.4224
23,5587.0547
24,4160.1177
25,7697.8047
26,11037.103
27,9099.052
28,5739.864
29,4960.2695
30,4458.5503
31,5897.183
32,10331.715
33,6507.9907
34,5219.566
35,5370.741
36,7645.545
37,3521.4626
38,7484.972
39,4236.805
40,7124.5845
41,6913.565
42,5286.159
43,7915.933
44,6894.7905
45,4953.8013
46,6711.4575
47,7161.7295
48,11862.292
49,5821.3003
50,8244.972
51,6524.3057
52,8909.52
53,6441.583
54,9444.615
55,4673.526
56,4917.5547
57,6025.554
58,5710.3916
59,9252.306
60,7909.1704
61,5415.191
62,7552.865
63,6608.0967
64,10286.005
65,3773.702
66,13005.37
67,4858.94
68,6000.84
69,8278.358
70,4636.848
71,6349.078
72,6229.9463
73,7608.1543
74,5653.917
75,5880.265
76,7693.9805
77,7534.352
78,7018.2085
79,5133.4116
80,7053.3525
81,11481.911
82,6297.8296
83,4229.416
84,6822.8423
85,5759.36
86,5839.0903
87,7425.4414
88,3886.0283
89,7797.6465
90,5858.079
91,7134.3086
92,6722.849
93,3984.9326
94,5822.672
95,5157.884
96,8052.8633
97,8808.213
98,4980.5376
99,4926.3623
100,7119.897
101,5820.423
102,6334.567
103,7608.053
104,6483.0786
105,7535.7603
106,5656.3877
107,4282.5044
108,6769.0093
109,8206.685
110,7953.1294
111,8361.506
112,7957.8716
113,5608.2515
114,8723.886
115,5596.8584
116,7205.609
117,9162.294
118,6497.732
119,10076.258
120,7606.805
121,7534.1797
122,5917.6484
123,7111.827
124,7872.263
125,6391.813
126,3723.327
127,5381.4844
128,7692.924
129,5547.366
130,4161.475
131,8567.036
132,6362.98
133,5638.4717
134,5758.1353
135,5260.0747
136,7414.6416
137,7029.919
138,6835.909
139,5585.2324
140,5631.9243
141,6396.539
142,3785.1992
143,5902.6304
144,5236.4214
145,8555.906
146,7305.391
147,6024.244
148,11786.046
149,4985.6855
150,5153.689
151,10563.37
152,6506.532
153,8510.564
154,7267.0156
155,5641.5376
156,6211.4634
157,5328.496
158,8574.499
159,11101.396
160,6039.94
161,3259.9636
162,4455.2256
163,8628.415
164,8792.692
165,6246.5176
166,6926.264
167,4727.324
168,5541.0786
169,3285.063
170,4958.1504
171,5975.3086
172,7291.7124
173,6887.6587
174,7543.4697
175,8050.4595
176,9332.55
177,7476.653
178,5092.338
179,9272.907
180,10604.03
181,5986.633
182,7565.1216
183,5492.4097
184,6501.5815
185,4110.2314
186,7113.2925
187,5343.934
188,8990.04
189,7102.5674
190,8446.132
191,7722.86
192,5468.457
193,8691.992
194,18850.54
195,10353.753
196,5582.937
197,2951.3057
198,6012.757
199,8510.824
200,5595.1235
201,12885.03
202,18080.71
203,4055.663
204,5192.7305
205,9143.028
206,4928.8535
207,8798.044
208,6747.1763
209,7580.7085
210,4706.506
211,6270.9214
212,6173.361
213,7236.727
214,9757.508
215,6372.0537
216,5807.735
217,6908.6343
218,4944.2183
219,4946.5015
220,7638.9414
221,5910.1685
222,5701.3354
223,7094.03
224,6133.362
225,5644.3906
226,7271.0923
227,7021.5093
228,8637.489
229,6601.602
230,7619.89
231,5593.571
232,3847.2886
233,6214.6987
234,6933.7266
235,6164.8228
236,4318.4355
